user_id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
27,5.0,2.6496658325195312,2.5966639518737793,3.0,4.03157901763916,3.1271767616271973,3.0438241958618164,3.0,3.7228541374206543,3.0,2.4173097610473633,3.150408983230591,5.0,3.0,3.0
28,2.5351924896240234,2.7555394172668457,3.0,1.0,3.0283570289611816,4.0,5.0,3.039731025695801,2.0,4.0,4.0,1.8921740055084229,3.0,2.3887219429016113,2.444948196411133
29,3.6843109130859375,2.5719027519226074,3.0,3.2253975868225098,3.0,3.354043483734131,3.0,3.2646002769470215,5.0,5.0,3.0,3.1744184494018555,3.2519984245300293,3.4894909858703613,2.830509662628174
30,4.0,2.66810941696167,2.7112107276916504,2.7934410572052,3.0,3.0815963745117188,2.6515378952026367,3.0,2.5124826431274414,2.0,3.0,3.0,2.8485522270202637,3.1716036796569824,3.0
31,2.0,2.3461837768554688,4.0,2.62929630279541,3.0,2.4809048175811768,2.0,2.898697853088379,1.0,1.66025710105896,2.007674217224121,3.0,2.0,2.0,2.835142135620117
32,5.0,2.8423404693603516,2.652125358581543,3.5391287803649902,4.0,3.0,2.9559645652770996,3.0,4.0,3.0,2.34795880317688,3.769474983215332,5.0,3.828486680984497,3.0
33,1.7377572059631348,3.3857359886169434,4.0,1.9353773593902588,1.9874293804168701,3.0,4.024550914764404,2.914609432220459,2.0,2.580785036087036,5.0,2.500544548034668,2.0,2.0,2.8732738494873047
34,5.0,3.0,2.181332588195801,3.2647199630737305,5.0,4.0,2.749107837677002,2.0,3.856105327606201,2.613931655883789,2.0,3.8558006286621094,5.0,3.946892738342285,2.432192325592041
35,3.315852403640747,4.0,3.0,4.0,2.7960972785949707,2.4999587535858154,3.347470760345459,2.0,5.0,2.10319185256958,4.0,4.0,3.0,3.04296875,2.463956117630005
36,5.207259654998779,3.4594366550445557,3.0,4.552989482879639,4.701485633850098,4.126300811767578,3.098386764526367,3.3838014602661133,4.756174087524414,3.2677950859069824,3.0,5.0,5.0,5.0,3.7119171619415283
37,5.0,3.1782915592193604,3.0,3.8429465293884277,3.4562644958496094,3.0,2.9194788932800293,3.0,5.0,3.0,3.1263768672943115,4.194976806640625,3.0,3.9936161041259766,3.0
38,2.6727676391601562,2.2999234199523926,3.0,2.686530828475952,2.8138158321380615,2.0,3.0,3.0,2.9197957515716553,2.039483070373535,1.6492669582366943,2.671557903289795,5.0,2.439182758331299,3.0
39,4.037222385406494,3.0,2.785017967224121,4.0,5.0,3.2021913528442383,3.4346086978912354,3.0,5.0,3.0,3.0,4.037705421447754,5.0,3.550049066543579,1.0
40,5.0,2.0,1.0,3.0,3.996399402618408,3.0,2.0,1.0,3.2228641510009766,2.231971263885498,1.7359733581542969,3.279412269592285,2.695042133331299,4.0,2.0
41,5.0,3.0,2.5751986503601074,3.0,5.0,4.0,3.0,3.0,3.1169018745422363,3.108104705810547,2.9215972423553467,4.0,3.0,4.041687965393066,3.0113892555236816
